(-0.5200374999999999,0.2912687499999999),red
(-0.5122612499999999,-0.30472375),green
(0.007776249999999971,-0.5959925),orange
(0.5200374999999999,-0.2912687499999999),black
(0.5122612499999999,0.30472375),purple
(-0.09599250000000002,-0.10825374999999998),blue
(0.04575374999999998,-0.13726125),red
(0.14174625000000002,-0.02900749999999999),green
(0.09599250000000002,0.10825374999999998),orange
(-0.04575374999999998,0.13726125),black
(-0.14174625000000002,0.02900749999999999),purple
(0.54575375,0.36273875000000005),blue
(-0.04126874999999998,0.6540075),red
(-0.5870224999999999,0.29126874999999997),green
(-0.54575375,-0.36273875000000005),orange
(0.04126874999999998,-0.6540075),black
(0.5870224999999999,-0.29126874999999997),purple
(0.04575374999999998,0.36273875000000005),blue
(-0.29126874999999997,0.2209925),red
(-0.33702249999999995,-0.14174625000000002),green
(-0.04575374999999998,-0.36273875000000005),orange
(0.29126874999999997,-0.2209925),black
(0.33702249999999995,0.14174625000000002),purple
(0.20873125000000003,0.7209925),blue
(-0.5200374999999999,0.54126875),red
(-0.72876875,-0.17972375000000002),green
(-0.20873125000000003,-0.7209925),orange
(0.5200374999999999,-0.54126875),black
(0.72876875,0.17972375000000002),purple
(-0.20424625000000002,0.11273875000000001),blue
(-0.19976124999999995,-0.12051499999999998),red
(0.004485000000000017,-0.23325374999999998),green
(0.20424625000000002,-0.11273875000000001),orange
(0.19976124999999995,0.12051499999999998),black
(-0.004485000000000017,0.23325374999999998),purple
(0.30023875000000005,0.3794850000000001),blue
(-0.17853,0.4497612499999999),red
(-0.4787687499999999,0.07027624999999998),green
(-0.30023875000000005,-0.3794850000000001),orange
(0.17853,-0.4497612499999999),black
(0.4787687499999999,-0.07027624999999998),purple
(-0.19976124999999995,0.3794850000000001),blue
(-0.42852999999999997,0.016746250000000018),red
(-0.22876874999999997,-0.36273875000000005),green
(0.19976124999999995,-0.3794850000000001),orange
(0.42852999999999997,-0.016746250000000018),black
(0.22876874999999997,0.36273875000000005),purple
(0.07147000000000002,0.51674625),blue
(-0.41178374999999995,0.3202762499999999),red
(-0.48325375,-0.19647000000000003),green
(-0.07147000000000002,-0.51674625),orange
(0.41178374999999995,-0.3202762499999999),black
(0.48325375,0.19647000000000003),purple
(0.0625,-0.0625),blue
(0.08537687499999999,0.022876874999999998),red
(0.022876874999999998,0.08537687499999999),green
(-0.0625,0.0625),orange
(-0.08537687499999999,-0.022876874999999998),black
(-0.022876874999999998,-0.08537687499999999),purple
