(-0.17523875,-0.76674625)
(0.576406875,-0.5351381249999999)
(0.751645625,0.23160812500000003)
(-0.18136937500000003,0.164623125)
(-0.23325374999999998,-0.07476125)
(-0.05188437499999998,-0.23938437499999995)
(0.18136937500000003,-0.164623125)
(0.23325374999999998,0.07476125)
(0.05188437499999998,0.23938437499999995)
(0.26674625,0.42523875000000005)
(-0.234899375,0.44363062499999995)
(-0.5016456249999999,0.018391874999999974)
(-0.26674625,-0.42523875000000005)
(0.234899375,-0.44363062499999995)
(0.5016456249999999,-0.018391874999999974)
(-0.23325374999999998,0.42523875000000005)
(-0.484899375,0.010615625000000038)
(-0.251645625,-0.414623125)
(0.23325374999999998,-0.42523875000000005)
(0.484899375,-0.010615625000000038)
(0.251645625,0.414623125)
(0.015100625000000034,0.510615625)
(-0.43466062499999997,0.26839187499999995)
(-0.4497612499999999,-0.24222375000000002)
(-0.015100625000000034,-0.510615625)
(0.43466062499999997,-0.26839187499999995)
(0.4497612499999999,0.24222375000000002)
(-0.18136937500000003,-0.08537687499999999)
(-0.016746250000000018,-0.19976125)
(0.164623125,-0.11438437499999998)
(0.18136937500000003,0.08537687499999999)
(0.016746250000000018,0.19976125)
(-0.164623125,0.11438437499999998)
(0.48325375000000004,0.30023875000000005)
(-0.018391874999999974,0.568630625)
(-0.5016456249999999,0.26839187499999995)
(-0.48325375000000004,-0.30023875000000005)
(0.018391874999999974,-0.568630625)
(0.5016456249999999,-0.26839187499999995)
(-0.016746250000000018,0.30023875000000005)
(-0.26839187499999995,0.13561562500000002)
(-0.251645625,-0.164623125)
(0.016746250000000018,-0.30023875000000005)
(0.26839187499999995,-0.13561562500000002)
(0.251645625,0.164623125)
(0.23160812500000003,0.635615625)
(-0.43466062499999997,0.518391875)
(-0.66626875,-0.11722375000000003)
(-0.23160812500000003,-0.635615625)
(0.43466062499999997,-0.518391875)
(0.66626875,0.11722375000000003)
(-0.26674625,0.05023875000000001)
(-0.17688437499999995,-0.20589187499999997)
(0.08986187500000001,-0.25613062499999995)
(0.26674625,-0.05023875000000001)
(0.17688437499999995,0.20589187499999997)
(-0.08986187500000001,0.25613062499999995)
(0.323115625,0.29410812500000005)
(-0.093153125,0.42688437499999987)
(-0.4162687499999999,0.13277624999999998)
(-0.323115625,-0.29410812500000005)
(0.093153125,-0.42688437499999987)
(0.4162687499999999,-0.13277624999999998)
(-0.17688437499999995,0.29410812500000005)
(-0.343153125,-0.006130624999999973)
(-0.16626874999999997,-0.30023875000000005)
(0.17688437499999995,-0.29410812500000005)
(0.343153125,0.006130624999999973)
(0.16626874999999997,0.30023875000000005)
(0.15684687500000002,0.49386937499999994)
(-0.34928374999999995,0.3827762499999999)
(-0.506130625,-0.11109312500000004)
(-0.15684687500000002,-0.49386937499999994)
(0.34928374999999995,-0.3827762499999999)
(0.506130625,0.11109312500000004)
(0.08537687499999999,-0.10212312500000001)
(0.131130625,0.02287687499999999)
(0.045753749999999996,0.125)
(-0.08537687499999999,0.10212312500000001)
(-0.131130625,-0.02287687499999999)
(-0.045753749999999996,-0.125)
(0.6311306250000001,0.522876875)
(-0.13726125,0.8080149999999999)
(-0.768391875,0.28513812499999996)
(-0.6311306250000001,-0.522876875)
(0.13726125,-0.8080149999999999)
(0.768391875,-0.28513812499999996)
(0.131130625,0.522876875)
(-0.38726125,0.375)
(-0.518391875,-0.147876875)
(-0.131130625,-0.522876875)
(0.38726125,-0.375)
(0.518391875,0.147876875)
(0.11273875,0.875)
(-0.701406875,0.5351381249999999)
(-0.814145625,-0.339861875)
(-0.11273875,-0.875)
(0.701406875,-0.5351381249999999)
(0.814145625,0.339861875)
(-0.11886937500000003,0.272876875)
(-0.29575375,0.03349250000000001)
(-0.17688437499999998,-0.23938437499999995)
(0.11886937500000003,-0.272876875)
(0.29575375,-0.03349250000000001)
(0.17688437499999998,0.23938437499999995)
(0.20424625000000002,0.5334925)
(-0.359899375,0.44363062499999995)
(-0.564145625,-0.08986187500000001)
(-0.20424625000000002,-0.5334925)
(0.359899375,-0.44363062499999995)
(0.564145625,0.08986187500000001)
(-0.29575375,0.5334925)
(-0.609899375,0.010615625000000038)
(-0.314145625,-0.522876875)
(0.29575375,-0.5334925)
(0.609899375,-0.010615625000000038)
(0.314145625,0.522876875)
(-0.10989937499999997,0.510615625)
(-0.49716062499999997,0.16013812499999994)
(-0.38726124999999995,-0.3504775)
(0.10989937499999997,-0.510615625)
(0.49716062499999997,-0.16013812499999994)
(0.38726124999999995,0.3504775)
(-0.11886937500000003,0.02287687499999999)
(-0.07924625,-0.09150749999999999)
(0.03962312500000001,-0.11438437499999998)
(0.11886937500000003,-0.02287687499999999)
(0.07924625,0.09150749999999999)
(-0.03962312500000001,0.11438437499999998)
(0.42075375,0.40849250000000004)
(-0.14339187499999997,0.568630625)
(-0.564145625,0.160138125)
(-0.42075375,-0.40849250000000004)
(0.14339187499999997,-0.568630625)
(0.564145625,-0.160138125)
(-0.07924625,0.40849250000000004)
(-0.39339187499999995,0.13561562500000002)
(-0.314145625,-0.272876875)
(0.07924625,-0.40849250000000004)
(0.39339187499999995,-0.13561562500000002)
(0.314145625,0.272876875)
(0.10660812500000003,0.635615625)
(-0.49716062499999997,0.4101381249999999)
(-0.60376875,-0.22547750000000003)
(-0.10660812500000003,-0.635615625)
(0.49716062499999997,-0.4101381249999999)
(0.60376875,0.22547750000000003)
(-0.32924625,0.1584925)
(-0.301884375,-0.20589187499999997)
(0.027361875000000015,-0.364384375)
(0.32924625,-0.1584925)
(0.301884375,0.20589187499999997)
(-0.027361875000000015,0.364384375)
(0.19811562500000005,0.29410812500000005)
(-0.15565312499999998,0.31863062499999995)
(-0.3537687499999999,0.024522499999999975)
(-0.19811562500000005,-0.29410812500000005)
(0.15565312499999998,-0.31863062499999995)
(0.3537687499999999,-0.024522499999999975)
(-0.301884375,0.29410812500000005)
(-0.405653125,-0.11438437499999995)
(-0.10376874999999997,-0.40849250000000004)
(0.301884375,-0.29410812500000005)
(0.405653125,0.11438437499999995)
(0.10376874999999997,0.40849250000000004)
(0.09434687500000002,0.385615625)
(-0.28678374999999995,0.2745224999999999)
(-0.38113062499999995,-0.11109312500000004)
(-0.09434687500000002,-0.385615625)
(0.28678374999999995,-0.2745224999999999)
(0.38113062499999995,0.11109312500000004)
(0.006130624999999994,-0.10212312500000001)
(0.09150749999999999,-0.04575374999999998)
(0.08537687499999999,0.056369375000000006)
(-0.006130624999999994,0.10212312500000001)
(-0.09150749999999999,0.04575374999999998)
(-0.08537687499999999,-0.056369375000000006)
(0.5915075000000001,0.45424625)
(-0.09763812499999999,0.7393843749999999)
(-0.689145625,0.285138125)
(-0.5915075000000001,-0.45424625)
(0.09763812499999999,-0.7393843749999999)
(0.689145625,-0.285138125)
(0.09150749999999999,0.45424625)
(-0.347638125,0.306369375)
(-0.439145625,-0.147876875)
(-0.09150749999999999,-0.45424625)
(0.347638125,-0.306369375)
(0.439145625,0.147876875)
(0.152361875,0.8063693749999999)
(-0.622160625,0.5351381249999999)
(-0.7745225,-0.27123125000000003)
(-0.152361875,-0.8063693749999999)
(0.622160625,-0.5351381249999999)
(0.7745225,0.27123125000000003)
(-0.15849250000000004,0.20424625000000002)
(-0.25613062499999995,-0.035138125)
(-0.09763812499999999,-0.23938437499999995)
(0.15849250000000004,-0.20424625000000002)
(0.25613062499999995,0.035138125)
(0.09763812499999999,0.23938437499999995)
(0.24386937500000003,0.46486187500000004)
(-0.280653125,0.44363062499999995)
(-0.5245224999999999,-0.021231250000000035)
(-0.24386937500000003,-0.46486187500000004)
(0.280653125,-0.44363062499999995)
(0.5245224999999999,0.021231250000000035)
(-0.25613062499999995,0.46486187500000004)
(-0.5306531250000001,0.010615625000000045)
(-0.27452249999999995,-0.45424625)
(0.25613062499999995,-0.46486187500000004)
(0.5306531250000001,-0.010615625000000045)
(0.27452249999999995,0.45424625)
(-0.03065312499999997,0.510615625)
(-0.45753749999999993,0.2287687499999999)
(-0.42688437499999987,-0.281846875)
(0.03065312499999997,-0.510615625)
(0.45753749999999993,-0.2287687499999999)
(0.42688437499999987,0.281846875)
(-0.15849250000000004,-0.04575374999999998)
(-0.03962312500000001,-0.160138125)
(0.11886937500000003,-0.11438437499999998)
(0.15849250000000004,0.04575374999999998)
(0.03962312500000001,0.160138125)
(-0.11886937500000003,0.11438437499999998)
(0.460376875,0.33986187500000004)
(-0.06414562499999998,0.568630625)
(-0.5245224999999999,0.22876874999999997)
(-0.460376875,-0.33986187500000004)
(0.06414562499999998,-0.568630625)
(0.5245224999999999,-0.22876874999999997)
(-0.03962312500000001,0.33986187500000004)
(-0.314145625,0.13561562500000002)
(-0.27452249999999995,-0.20424625000000002)
(0.03962312500000001,-0.33986187500000004)
(0.314145625,-0.13561562500000002)
(0.27452249999999995,0.20424625000000002)
(0.18585437500000004,0.635615625)
(-0.45753749999999993,0.47876874999999997)
(-0.643391875,-0.15684687500000002)
(-0.18585437500000004,-0.635615625)
(0.45753749999999993,-0.47876874999999997)
(0.643391875,0.15684687500000002)
(-0.289623125,0.08986187500000001)
(-0.22263812499999994,-0.20589187499999997)
(0.06698500000000002,-0.29575375)
(0.289623125,-0.08986187500000001)
(0.22263812499999994,0.20589187499999997)
(-0.06698500000000002,0.29575375)
(0.27736187500000004,0.29410812500000005)
(-0.11603,0.3872612499999999)
(-0.39339187499999995,0.09315312499999998)
(-0.27736187500000004,-0.29410812500000005)
(0.11603,-0.3872612499999999)
(0.39339187499999995,-0.09315312499999998)
(-0.22263812499999994,0.29410812500000005)
(-0.36602999999999997,-0.04575374999999998)
(-0.14339187499999997,-0.33986187500000004)
(0.22263812499999994,-0.29410812500000005)
(0.36602999999999997,0.04575374999999998)
(0.14339187499999997,0.33986187500000004)
(0.13397000000000003,0.45424624999999996)
(-0.326406875,0.3431531249999999)
(-0.46037687499999996,-0.11109312500000004)
(-0.13397000000000003,-0.45424624999999996)
(0.326406875,-0.3431531249999999)
